modelName,status,trainF1,testF1,trainPrecision,testPrecision,trainRecall,testRecall,trainAccuracy,testAccuracy,bestParams,isBest,error
Random Forest,trained,0.9902538071065989,0.9815112540192926,0.9892494929006085,0.9760191846522782,0.991260162601626,0.9870654810024252,0.989145183175034,0.979194934418815,"{'max_depth': None, 'n_estimators': 100}",True,
Logistic Regression,trained,0.9360120542440984,0.9362214199759326,0.9253227408142999,0.929140127388535,0.9469512195121951,0.9434114793856103,0.9279737675260064,0.9280868385345997,{'C': 1.0},False,
Decision Tree,trained,0.9902439024390244,0.9733441033925686,0.9902439024390244,0.9725585149313963,0.9902439024390244,0.9741309620048505,0.989145183175034,0.9701492537313433,"{'criterion': 'entropy', 'max_depth': None}",False,
XGBoost,trained,0.9679112008072653,0.9690638810767377,0.961122244488978,0.963258785942492,0.9747967479674797,0.9749393694421988,0.9640434192672999,0.9651741293532339,"{'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 100}",False,
